Learn more about this report for residential or business customers
Link for residential: http://www.bchydro.com/residentialconsumption
Link for business: http://www.bchydro.com/businessconsumption

Account Number,Interval Start Date/Time,Net Consumption (kWh),Demand (kW),Power Factor (%)
5555555,2015/06/02 00:00:00,4.59,N/A,N/A
5555555,2015/06/03 00:00:00,4.44,N/A,N/A
5555555,2015/06/04 00:00:00,5.52,N/A,N/A
5555555,2015/06/05 00:00:00,6.94,N/A,N/A
5555555,2015/06/06 00:00:00,4.61,N/A,N/A
5555555,2015/06/07 00:00:00,6.33,N/A,N/A
5555555,2015/06/08 00:00:00,4.92,N/A,N/A
5555555,2015/06/09 00:00:00,5.77,N/A,N/A
5555555,2015/06/10 00:00:00,7.45,N/A,N/A
5555555,2015/06/11 00:00:00,6.59,N/A,N/A
5555555,2015/06/12 00:00:00,7.66,N/A,N/A
5555555,2015/06/13 00:00:00,5.88,N/A,N/A
5555555,2015/06/14 00:00:00,11.58,N/A,N/A
5555555,2015/06/15 00:00:00,15.95,N/A,N/A
5555555,2015/06/16 00:00:00,13.44,N/A,N/A
5555555,2015/06/17 00:00:00,8.57,N/A,N/A
5555555,2015/06/18 00:00:00,10.13,N/A,N/A
5555555,2015/06/19 00:00:00,10.58,N/A,N/A
5555555,2015/06/20 00:00:00,11.52,N/A,N/A
5555555,2015/06/21 00:00:00,17.91,N/A,N/A
5555555,2015/06/22 00:00:00,8.99,N/A,N/A
5555555,2015/06/23 00:00:00,11.06,N/A,N/A
5555555,2015/06/24 00:00:00,15.44,N/A,N/A
5555555,2015/06/25 00:00:00,12.39,N/A,N/A
5555555,2015/06/26 00:00:00,14.48,N/A,N/A
5555555,2015/06/27 00:00:00,12.86,N/A,N/A
5555555,2015/06/28 00:00:00,17.90,N/A,N/A
5555555,2015/06/29 00:00:00,13.27,N/A,N/A
5555555,2015/06/30 00:00:00,9.08,N/A,N/A
5555555,2015/07/01 00:00:00,8.50,N/A,N/A
5555555,2015/07/02 00:00:00,10.01,N/A,N/A
5555555,2015/07/03 00:00:00,7.65,N/A,N/A
5555555,2015/07/04 00:00:00,10.93,N/A,N/A
5555555,2015/07/05 00:00:00,18.66,N/A,N/A
5555555,2015/07/06 00:00:00,13.59,N/A,N/A
5555555,2015/07/07 00:00:00,11.77,N/A,N/A
5555555,2015/07/08 00:00:00,15.90,N/A,N/A
5555555,2015/07/09 00:00:00,10.54,N/A,N/A
5555555,2015/07/10 00:00:00,13.85,N/A,N/A
5555555,2015/07/11 00:00:00,11.70,N/A,N/A
5555555,2015/07/12 00:00:00,19.73,N/A,N/A
5555555,2015/07/13 00:00:00,18.82,N/A,N/A
5555555,2015/07/14 00:00:00,16.29,N/A,N/A
5555555,2015/07/15 00:00:00,14.59,N/A,N/A
5555555,2015/07/16 00:00:00,13.71,N/A,N/A
5555555,2015/07/17 00:00:00,17.41,N/A,N/A
5555555,2015/07/18 00:00:00,13.76,N/A,N/A
5555555,2015/07/19 00:00:00,14.97,N/A,N/A
5555555,2015/07/20 00:00:00,13.11,N/A,N/A
